"Old Ref ID"	"Ref ID"	"Record Last Updated (dd/mm/yyyy)"	"Operator (or Applicant)"	"Site Name"	"Technology Type"	"Storage Type"	"Storage Co-location REPD Ref ID"	"Installed Capacity (MWelec)"	"CHP Enabled"	"RO Banding (ROC/MWh)"	"FiT Tariff (p/kWh)"	"CfD Capacity (MW)"	"Turbine Capacity (MW)"	"No. of Turbines"	"Height of Turbines (m)"	"Mounting Type for Solar"	"Development Status"	"Development Status (short)"	"Address"	"County"	"Region"	"Country"	"Post Code"	"X-coordinate"	"Y-coordinate"	"Planning Authority"	"Planning Application Reference"	"Appeal Reference"	"Secretary of State Reference"	"Type of Secretary of State Intervention"	"Judicial Review"	"Offshore Wind Round"	"Planning Application Submitted"	"Planning Application Withdrawn"	"Planning Permission Refused"	"Appeal Lodged"	"Appeal Withdrawn"	"Appeal Refused"	"Appeal Granted"	"Planning Permission Granted"	"Secretary of State - Intervened"	"Secretary of State - Refusal"	"Secretary of State - Granted"	"Planning Permission Expired"	"Under Construction"	"Operational"	"Sites"
"C0329"	3911	2017-04-04	"LocoGen/ Green Cat Renewables"	"Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission)"	"Wind Onshore"	NA	NA	9.6	"n/a"	NA	NA	NA	"3.2"	"3"	NA	"n/a"	"Operational"	"Operational"	"Hill of Tillymorgan, Culsalmond, Insch"	"Grampian"	"Scotland"	"Scotland"	"AB52 6TT"	363363	828345	"Aberdeenshire Council"	"APP/2011/0855"	NA	NA	NA	NA	NA	2011-03-16	NA	NA	NA	NA	NA	NA	2013-04-30	NA	NA	NA	NA	2015-07-01	2016-12-01	1
"C0490"	3912	2016-01-04	"Freelight (Shetland)"	"Culterfield Windfarm"	"Wind Onshore"	NA	NA	2.7	"n/a"	NA	NA	NA	"0.9"	"3"	NA	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"Culterfield, Cunningsburgh, Shetland"	"Shetland Islands"	"Scotland"	"Scotland"	"ZE2 9HB"	442762	1129706	"Shetland Islands Council"	"2012/271/PPF"	NA	NA	NA	NA	NA	2012-08-09	NA	NA	NA	NA	NA	NA	2012-12-03	NA	NA	NA	2015-12-03	NA	NA	1
"C0524"	3913	2013-11-21	"Wind Prospect Developments"	"Frandy Hill"	"Wind Onshore"	NA	NA	14	"n/a"	NA	NA	NA	"2"	"7"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Site South Of The Upper And Lower Glendevon Resevoirs Glendevon"	"Tayside"	"Scotland"	"Scotland"	NA	292500	703500	"Perth and Kinross Council"	"11/01952/FLL"	"13/00004/NONDET"	NA	NA	NA	NA	2011-12-09	NA	NA	NA	NA	2013-04-11	NA	NA	NA	NA	NA	NA	NA	NA	1
"C0654"	3914	2013-08-30	"Energiekontor UK"	"HORN BURN WIND FARM - WIND TURBINES"	"Wind Onshore"	NA	NA	20	"n/a"	NA	NA	NA	"2"	"10"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Se/O Reston Hill Farmhouse, Horn Burn Wind Farm, Eyemouth, Borders, TD14"	"Borders"	"Scotland"	"Scotland"	NA	390000	659500	"Scottish Borders Council"	"12/01348/FUL"	"13/00011/NONDET"	NA	NA	NA	NA	2012-10-30	NA	NA	NA	NA	2013-08-29	NA	NA	NA	NA	NA	NA	NA	NA	1
"C0657"	3915	2018-05-23	"PI Renewables 2 Ltd"	"LADEHEAD FARM - WIND TURBINES"	"Wind Onshore"	NA	NA	2.4	"n/a"	NA	NA	NA	"1.3"	"3"	NA	"n/a"	"Operational"	"Operational"	"Ladehead Farm Lesmahagow"	"Strathclyde"	"Scotland"	"Scotland"	"ML11 0HZ"	279142	641223	"South Lanarkshire Council"	"CL/12/0461"	NA	NA	NA	NA	NA	2012-10-19	NA	NA	NA	NA	NA	NA	2015-01-22	NA	NA	NA	2018-01-22	2016-06-15	2016-09-15	1
"C0704"	3916	2014-12-05	"Private Developer"	"Tangy Farm Wind Turbine"	"Wind Onshore"	NA	NA	2	"n/a"	NA	NA	NA	"2"	"1"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Tangy, Kilkenzie, Campbeltown, Argyll And Bute"	"Strathclyde"	"Scotland"	"Scotland"	"PA28 6QD"	168309	628129	"Argyll and Bute Council"	"12/02458/PP"	NA	NA	NA	NA	NA	2012-11-16	2014-03-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"C1020"	3919	2018-11-27	"West Garty Renewables"	"West Garty Windfarm (resubmission)"	"Wind Onshore"	NA	NA	54	"n/a"	NA	NA	NA	"3"	"18"	"120"	"n/a"	"Appeal Refused"	"Application Refused"	"West Garty Estate, Helmsdale, East Sutherland"	"Highland"	"Scotland"	"Scotland"	"KW8 6HP"	294780	915304	"Scottish Government (S36)"	"EC00002075"	"WIN-270-6"	NA	NA	NA	NA	2014-12-01	NA	NA	2016-05-17	NA	2018-10-19	NA	NA	NA	NA	NA	NA	NA	NA	1
"C1044"	3920	2014-02-14	"Private Developer"	"Boy's Hill Wind Cluster"	"Wind Onshore"	NA	NA	6.9	"n/a"	NA	NA	NA	"2.2999999999999998"	"3"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land to North West of Denside, Glenfarquhar, Auchenblae,  Laurencekirk"	"Grampian"	"Scotland"	"Scotland"	"AB30 1UJ"	371671	781186	"Aberdeenshire Council"	"APP/2012/4218"	NA	NA	NA	NA	NA	2013-01-10	NA	2013-10-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"C1161"	3922	2014-11-06	"North Uist Development Company"	"Locheport wind turbines"	"Wind Onshore"	NA	NA	1.8	"n/a"	NA	NA	NA	"0.9"	"2"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Locheport Isle Of North Uist"	"Western Isles"	"Scotland"	"Scotland"	NA	81406	864703	"Comhairle nan Eilean Siar Council"	"13/00155/PPD"	NA	NA	NA	NA	NA	2013-04-04	NA	2014-10-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"C1199"	3923	2018-10-29	"Newton Of Fortrie LLP/Muirden Energy"	"Hill of Carlincraig wind turbines"	"Wind Onshore"	NA	NA	4.6	"n/a"	NA	NA	NA	"2.2999999999999998"	"2"	NA	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Land at Hill of Carlincraig Land to the South-East of Newton of Fortrie Farm  Turriff AB53 4HL"	"Grampian"	"Scotland"	"Scotland"	"AB53 4HL"	368325	844794	"Aberdeenshire Council"	"APP/2013/0987"	NA	NA	NA	NA	NA	2013-04-01	NA	NA	NA	NA	NA	NA	2015-07-02	NA	NA	NA	2018-07-02	NA	NA	1
"C1585"	3925	2016-10-25	"2020 Renewables/ NTR"	"Ardoch and Over Enoch Wind Farm (Ardoch)"	"Wind Onshore"	NA	NA	7.1665	"n/a"	NA	NA	NA	"2.5"	"3"	"110"	"n/a"	"Operational"	"Operational"	"Ardoch Farm, Over Enoch Road, Eaglesham, East Renfrewshire"	"Strathclyde"	"Scotland"	"Scotland"	"G76 0PL"	258534	649697	"East Renfrewshire Council"	"2012/0331/TP"	NA	NA	NA	NA	NA	2012-05-24	NA	NA	NA	NA	NA	NA	2012-07-09	NA	NA	NA	NA	2013-11-05	2014-11-12	1
"C2276"	3926	2018-04-27	"RES UK & Ireland"	"Culachy Wind Farm"	"Wind Onshore"	NA	NA	44	"n/a"	0.9	NA	NA	"3.4"	"13"	"149.5"	"n/a"	"Appeal Refused"	"Application Refused"	"Culachy Estate Land 6KM SE Of, Newtown, Invergarry, Highlands"	"Highland"	"Scotland"	"Scotland"	"PH35 4"	237225	804335	"Highland Council"	"14/04782/FUL"	"PPA-270-2151"	NA	NA	NA	NA	2015-01-15	NA	2015-12-18	2016-03-17	NA	2018-04-27	NA	NA	NA	NA	NA	NA	NA	NA	1
"EN00094"	3929	2016-08-16	"Melness Crofters Estate"	"Melness"	"Wind Onshore"	NA	NA	2.55	"n/a"	NA	NA	NA	"0.85"	"3"	NA	"n/a"	"Abandoned"	"Abandoned"	"Near Melness, Sutherland"	"Highland"	"Scotland"	"Scotland"	NA	256500	962000	"Highland Council"	"06/00271/FULSU"	NA	NA	NA	NA	NA	2006-07-12	NA	NA	NA	NA	NA	NA	2008-10-22	NA	NA	NA	NA	NA	NA	1
"EN00096"	3930	2016-02-24	"North British Windpower"	"Druim Fada"	"Wind Onshore"	NA	NA	10	"n/a"	NA	NA	NA	"2.5"	"4"	NA	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"Loch Eil, Fort William, Lochaber"	"Highland"	"Scotland"	"Scotland"	NA	207500	780500	"Highland Council"	"09/00074/FULLO"	NA	NA	NA	NA	NA	2009-02-01	NA	NA	NA	NA	NA	NA	2012-08-09	NA	NA	NA	2015-08-09	NA	NA	1
"EN00295"	3951	2013-08-30	"Fred Olsen Renewables"	"Rothes Wind Farm (Extension) (II)"	"Wind Onshore"	NA	NA	41.4	"n/a"	NA	NA	NA	"2.2999999999999998"	"18"	NA	"n/a"	"Operational"	"Operational"	"Rothes Windfarm, at Cairn Uish near Elgin"	"Grampian"	"Scotland"	"Scotland"	NA	318500	850500	"Moray Council"	NA	NA	NA	NA	NA	NA	2007-12-10	NA	NA	NA	NA	NA	NA	2010-01-12	NA	NA	NA	NA	2012-04-01	2013-04-15	1
"EN00397"	3959	2012-05-03	"Airtricity Developments"	"Muirpark"	"Wind Onshore"	NA	NA	33	"n/a"	NA	NA	NA	"3"	"11"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Muirpark Farm, Stirling"	"Stirling"	"Scotland"	"Scotland"	NA	273900	687800	"Stirling Council"	"09/00170/FUL"	NA	NA	NA	NA	NA	NA	NA	2012-05-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"EN00401"	3960	2013-05-01	"Falck Renewables/RDC"	"Nigg Hill"	"Wind Onshore"	NA	NA	10	"n/a"	NA	NA	NA	"2"	"5"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Nigg Hill , Nigg, Rosshire, Highlands"	"Highland"	"Scotland"	"Scotland"	NA	283320	872675	"Highland Council"	"08/00066/FULRC"	NA	NA	NA	NA	NA	2008-01-24	NA	2013-01-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"EN00445"	3968	2012-05-09	"Infinis, previously Broadview Energy"	"Hill of Fiddes"	"Wind Onshore"	NA	NA	6.9	"n/a"	NA	NA	NA	"2.2999999999999998"	"3"	NA	"n/a"	"Operational"	"Operational"	"Hill of Fiddes
Udny Station
Cultercullen"	"Grampian"	"Scotland"	"Scotland"	NA	393495	824485	"Aberdeenshire Council"	"APP/2007/3578"	NA	NA	NA	NA	NA	2007-09-03	NA	NA	NA	NA	NA	NA	2008-04-01	NA	NA	NA	NA	2009-07-01	2010-02-20	1
"EN00532"	3980	2013-02-25	"Eco2 /GreenCAT"	"Mains of Hatton"	"Wind Onshore"	NA	NA	2.4	"n/a"	NA	NA	NA	"0.8"	"3"	NA	"n/a"	"Operational"	"Operational"	"Kirktown of Auchterless
Aberdeenshire"	"Grampian"	"Scotland"	"Scotland"	NA	396115	858370	"Aberdeenshire Council"	"APP/2006/4452"	NA	NA	NA	NA	NA	2006-11-16	NA	NA	NA	NA	NA	NA	2007-09-19	NA	NA	NA	NA	2011-11-01	2012-03-20	1
"EN00541"	3981	2013-04-22	"Scottish Power Renewables"	"Whitelee Windfarm Extension Phase 1"	"Wind Onshore"	NA	NA	108	"n/a"	NA	NA	NA	"3"	"36"	NA	"n/a"	"Operational"	"Operational"	"Eaglesham Moor, to the south of Glasgow"	"Strathclyde"	"Scotland"	"Scotland"	NA	256300	645000	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2008-04-01	NA	NA	NA	NA	NA	NA	2009-05-20	NA	NA	NA	NA	2010-12-01	2012-10-31	1
"EN00605"	3988	2016-06-16	"Urras Oighreachd Ghabhsainn"	"Loch Sminig Wind Project"	"Wind Onshore"	NA	NA	2.7	"n/a"	NA	NA	NA	"0.9"	"3"	NA	"n/a"	"Operational"	"Operational"	"Either side of the road between Baile an Truiseil and Upper Barvas, Stornoway, Isle of Lewis, HS2 0QX"	"Western Isles"	"Scotland"	"Scotland"	NA	137480	952680	"Comhairle nan Eilean Siar Council"	"08/00407/PPD"	NA	NA	NA	NA	NA	2008-08-29	NA	NA	NA	NA	NA	NA	2009-05-06	NA	NA	NA	NA	2013-06-03	2015-09-15	1
"EN00617"	3990	2017-04-19	"Asda"	"ASDA Distribution Centre"	"Wind Onshore"	NA	NA	2	"n/a"	NA	NA	NA	"2"	"1"	NA	"n/a"	"Planning Permission Expired"	"Planning Permission Expired"	"ASDA Distribution Centre
Falkirk"	"Falkirk"	"Scotland"	"Scotland"	NA	289760	681885	"Falkirk Council"	"P/07/0084/FUL - P/08/0511/FUL"	NA	NA	NA	NA	NA	2007-11-28	NA	NA	NA	NA	NA	NA	2009-03-04	NA	NA	NA	2017-01-01	NA	NA	1
"H0074"	3994	2015-07-01	"Formartine"	"Hillhead of Turnerhall"	"Wind Onshore"	NA	NA	3	"n/a"	NA	NA	NA	"1.5"	"2"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land West of Hillhead of Turnerhall, Auchnagatt, Ellon"	"Grampian"	"Scotland"	"Scotland"	NA	395137	834738	"Aberdeenshire Council"	"APP/2013/1562"	NA	NA	NA	NA	NA	2013-06-27	NA	2015-05-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1034"	3995	2014-04-01	"Strathdee Properties"	"Netherton Of Windyhills (extension)"	"Wind Onshore"	NA	NA	2.3	"n/a"	NA	NA	NA	"2.2999999999999998"	"1"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Keith, Grampian"	"Grampian"	"Scotland"	"Scotland"	"AB55 6NL"	349243	856794	"Moray Council"	"12/01707/APP"	NA	NA	NA	NA	NA	2012-10-04	NA	2014-02-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1159"	3999	2014-03-31	"Willowind Developments"	"Corwar Wind Farm"	"Wind Onshore"	NA	NA	16.4	"n/a"	NA	NA	NA	"2.0499999999999998"	"8"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Proposed Wind Farm A714 Barrhill - East To Council Boundary East Of Barrhill Barrhill South Ayrshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	229012	580345	"South Ayrshire Council"	"12/01384/APP"	"13/00018/REFUSA"	NA	NA	NA	NA	2012-12-10	NA	2013-08-30	NA	NA	2014-02-19	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1163"	4000	2014-02-20	"Willowind Developments"	"Calla Wind Farm"	"Wind Onshore"	NA	NA	18	"n/a"	NA	NA	NA	"3"	"6"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Carnwath, Lanark, Strathclyde"	"Strathclyde"	"Scotland"	"Scotland"	"ML11 8LH"	298295	648984	"South Lanarkshire Council"	"CL/12/0535"	NA	NA	NA	NA	NA	2012-12-06	NA	2013-12-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1178"	4001	2014-02-07	"Gamesa Energy"	"Harelaw Renewable Energy Park (Resubmission)"	"Wind Onshore"	NA	NA	117	"n/a"	NA	NA	NA	"3"	"39"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Harelaw, East Renfrewshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	246810	654150	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2009-05-19	NA	2013-09-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1270"	4002	2015-06-01	"Airvolution Energy"	"Shotts wind farm"	"Wind Onshore"	NA	NA	18	"n/a"	NA	NA	NA	"2"	"6"	"131"	"n/a"	"Appeal Refused"	"Application Refused"	"West Benhar Road, Eastfield, Harthill Shotts, North Lanarkshire"	"Strathclyde"	"Scotland"	"Scotland"	"ML7 5TG"	289269	662272	"North Lanarkshire Council"	"13/00072/FUL"	NA	NA	NA	NA	NA	2013-02-07	NA	2014-05-23	2014-09-05	NA	2015-05-22	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1375"	4003	2019-05-22	"Muirden Energy"	"Cogle Moss Wind Farm"	"Wind Onshore"	NA	NA	36	"n/a"	NA	NA	NA	"3"	"12"	"100"	"n/a"	"Appeal Granted"	"Awaiting Construction"	"Land 477M NE Of Blackpark Watten KW1 5UL"	"Highland"	"Scotland"	"Scotland"	NA	327494	955985	"Highland Council"	"15/02769/FUL"	"PPA-270-2166"	NA	NA	NA	NA	2015-08-11	NA	2017-01-10	2017-02-08	NA	NA	2017-08-29	2017-08-29	NA	NA	NA	NA	NA	NA	1
"IF1376"	4004	2014-06-06	"Orkney Renewable Energy"	"Rysa Wind Energy Project"	"Wind Onshore"	NA	NA	2.7	"n/a"	NA	NA	NA	"0.9"	"3"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Rysa Lodge, Lyness, Stromness, Orkney, KW16 3NU"	"Orkney Islands"	"Scotland"	"Scotland"	NA	330035	996335	"Orkney Islands Council"	"13/072/TPP"	NA	NA	NA	NA	NA	2013-02-22	2014-04-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"IF1415"	4005	2019-06-11	"Orkney Sustainable Energy"	"Herscha Wind energy Project (Extension)"	"Wind Onshore"	NA	NA	1.6	"n/a"	NA	NA	NA	"0.8"	"2"	NA	"n/a"	"Planning Permission Granted"	"Awaiting Construction"	"Herscha HIll (Land to North of)
Newland Cottage
Auchenblae
 Laurencekirk"	"Grampian"	"Scotland"	"Scotland"	NA	372896	780078	"Aberdeenshire Council"	"APP/2013/0587"	NA	NA	NA	NA	NA	2013-03-04	NA	NA	NA	NA	NA	NA	2015-05-20	NA	NA	NA	2021-03-09	NA	NA	1
"N00031W"	4006	2013-07-04	"E.ON UK"	"Camster"	"Wind Onshore"	NA	NA	50	"n/a"	NA	NA	NA	"2"	"25"	NA	"n/a"	"Operational"	"Operational"	"Lower Camster
Lybster
Caithness"	"Highland"	"Scotland"	"Scotland"	NA	325800	947400	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2005-01-05	NA	NA	NA	NA	NA	NA	2009-01-13	NA	NA	NA	NA	2012-01-01	2013-02-09	1
"N00075W"	4008	2013-11-25	"Longearth Ltd/ Farm Energy"	"Bu Farm"	"Wind Onshore"	NA	NA	2.7	"n/a"	NA	NA	NA	"0.9"	"3"	NA	"n/a"	"Operational"	"Operational"	"Rothiesholm, Bu Farm, Stronsay, Orkney"	"Orkney Islands"	"Scotland"	"Scotland"	NA	362283	1023560	"Orkney Islands Council"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002-05-10	1
"N00107W"	4009	2013-10-08	"Scottish and Southern Energy (SSE)"	"Drumderg"	"Wind Onshore"	NA	NA	36.8	"n/a"	NA	NA	NA	"2.2999999999999998"	"16"	NA	"n/a"	"Operational"	"Operational"	"Drumderg Hill
Near Alyth
Perth"	"Tayside"	"Scotland"	"Scotland"	NA	324500	748500	"Perth and Kinross Council"	"03/01917/FUL"	"P/PPA/340/459"	NA	NA	NA	NA	2003-11-06	NA	2005-02-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2008-11-09	1
"N00139W"	4011	2018-06-01	"Scottish and Southern Energy (SSE)/ Greencoat UK Wind"	"Clyde Wind Farm"	"Wind Onshore"	NA	NA	350	"n/a"	NA	NA	NA	"2.2999999999999998"	"152"	NA	"n/a"	"Operational"	"Operational"	"Clyde Wind farm, Lowther Hills, between Crawford and Nether Howecleuch,
NW of Lockerbie"	"Strathclyde"	"Scotland"	"Scotland"	NA	302500	617500	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2004-10-01	NA	NA	NA	NA	NA	NA	2008-07-21	NA	NA	NA	NA	NA	2012-10-01	1
"N00141W"	4013	2012-12-04	"RWE npower"	"Novar Wind Farm (Extension)"	"Wind Onshore"	NA	NA	36.8	"n/a"	NA	NA	NA	"2.2999999999999998"	"16"	NA	"n/a"	"Operational"	"Operational"	"Novar Estate
Evanton
Ross-shire"	"Highland"	"Scotland"	"Scotland"	NA	255500	871500	"Highland Council"	"03/00426/FULRC"	NA	NA	NA	NA	NA	2003-05-14	NA	NA	NA	NA	NA	NA	2005-06-20	NA	NA	NA	NA	2010-08-01	2012-09-17	1
"N00164W"	4014	2012-07-04	"Renewable Energy Systems (RES)"	"Hill of Towie (Drummuir)"	"Wind Onshore"	NA	NA	42	"n/a"	NA	NA	NA	"2"	"21"	NA	"n/a"	"Operational"	"Operational"	"Hill of Towie, Knockan and McHattie's Cairn, Drummuir, Keith, Banffshire, Moray"	"Grampian"	"Scotland"	"Scotland"	NA	320000	860000	"Moray Council"	"02/02099/EIA"	NA	NA	NA	NA	NA	2002-11-15	NA	2003-11-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010-09-01	2012-06-01	1
"N00168W"	4015	2016-10-26	"Scottish Power Renewables"	"Ewe Hill"	"Wind Onshore"	NA	NA	13.8	"n/a"	NA	NA	NA	"2.2999999999999998"	"6"	NA	"n/a"	"Operational"	"Operational"	"Near Langham and Lockerbie
Dumfries"	"Dumfries and Galloway"	"Scotland"	"Scotland"	NA	315000	580000	"Scottish Government (S36)"	"IEC3/107"	NA	NA	NA	NA	NA	2004-04-07	NA	NA	NA	NA	NA	NA	2010-06-07	NA	NA	NA	NA	2015-09-10	2016-05-30	1
"N00187W"	4016	2012-12-06	"Private Developer"	"Over Enoch Farm"	"Wind Onshore"	NA	NA	6.5	"n/a"	NA	NA	NA	"1.3"	"5"	NA	"n/a"	"Abandoned"	"Abandoned"	"Over Enoch Farm
Eaglesham
East Renfrewshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	258200	650100	"East Renfrewshire Council"	"2003/0350"	NA	NA	NA	NA	NA	2003-05-08	NA	NA	NA	NA	NA	NA	2004-09-02	NA	NA	NA	NA	NA	NA	1
"N00188W"	4017	2011-12-02	"Private Developer"	"Ardoch Farm (East Renfrewshire)"	"Wind Onshore"	NA	NA	3.9	"n/a"	NA	NA	NA	"1.3"	"3"	NA	"n/a"	"Abandoned"	"Abandoned"	"Ardoch Farm, Eaglesham, East Renfrewshire"	"Strathclyde"	"Scotland"	"Scotland"	"G76 0PL"	258500	649500	"East Renfrewshire Council"	"2003/0022/TP"	NA	NA	NA	NA	NA	2003-01-15	NA	NA	NA	NA	NA	NA	2004-09-02	NA	NA	NA	NA	NA	NA	1
"N00219W"	4020	2013-06-17	"Eurus Energy"	"Glenkirk"	"Wind Onshore"	NA	NA	93	"n/a"	NA	NA	NA	"3"	"31"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Glenkirk, Tomatin"	"Highland"	"Scotland"	"Scotland"	NA	286450	831550	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2005-09-26	NA	2013-06-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00225W"	4021	2013-05-02	"Baillie Windfarm Ltd"	"Baillie Wind Farm"	"Wind Onshore"	NA	NA	52.5	"n/a"	NA	NA	NA	"2.5"	"21"	NA	"n/a"	"Operational"	"Operational"	"Bardnaheigh, Westfield, Thurso"	"Highland"	"Scotland"	"Scotland"	NA	302550	965650	"Scottish Government (S36)"	"04/00342/S36CA"	NA	NA	NA	NA	NA	2004-07-13	NA	NA	NA	NA	NA	NA	2010-01-12	NA	NA	NA	NA	2011-07-01	2013-03-29	1
"N00243W"	4023	2017-12-04	"Greencoat UK Wind"	"Drone Hill"	"Wind Onshore"	NA	NA	28.6	"n/a"	NA	NA	NA	"1.3"	"22"	NA	"n/a"	"Operational"	"Operational"	"Coldingham
East Berwickshire"	"Borders"	"Scotland"	"Scotland"	NA	383719	667227	"Scottish Borders Council"	"05/00425/FUL"	NA	NA	NA	NA	NA	2005-03-04	NA	2007-11-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011-04-01	2012-09-01	1
"N00250W"	4024	2012-01-25	"Scottish and Southern Energy (SSE)"	"Tangy Wind Farm Extension/Tangy 2"	"Wind Onshore"	NA	NA	5.95	"n/a"	NA	NA	NA	"0.85"	"7"	NA	"n/a"	"Operational"	"Operational"	"Kilkenzie, Campbelltown"	"Strathclyde"	"Scotland"	"Scotland"	NA	177000	626200	"Argyll and Bute Council"	"0401291/DET"	NA	NA	NA	NA	NA	2004-07-01	NA	NA	NA	NA	NA	NA	2005-09-01	NA	NA	NA	NA	2006-05-01	2011-06-17	1
"N00259W"	4025	2012-08-29	"Scottish and Southern Energy (SSE)"	"Pairc Windfarm"	"Wind Onshore"	NA	NA	94	"n/a"	NA	NA	NA	"3.6"	"26"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Pairc 
Isle of Lewis"	"Western Isles"	"Scotland"	"Scotland"	NA	135566	915943	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2012-08-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00270W"	4027	2013-12-24	"Scottish and Southern Energy (SSE)"	"Calliachar"	"Wind Onshore"	NA	NA	32.2	"n/a"	NA	NA	NA	"2.2999999999999998"	"14"	NA	"n/a"	"Operational"	"Operational"	"Nr Aberfeldy, Amulree"	"Tayside"	"Scotland"	"Scotland"	NA	285000	750000	"Perth and Kinross Council"	"S36"	NA	NA	NA	NA	NA	2004-02-16	NA	2007-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	2012-06-01	2013-09-30	1
"N00272W"	4028	2012-02-29	"Greenpower (Griffin) Ltd"	"Griffin Wind farm"	"Wind Onshore"	NA	NA	156	"n/a"	NA	NA	NA	"3"	"52"	NA	"n/a"	"Operational"	"Operational"	"Griffin Forest"	"Tayside"	"Scotland"	"Scotland"	NA	293600	744600	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2004-04-27	NA	NA	NA	NA	NA	NA	2008-01-31	NA	NA	NA	NA	2010-07-01	2012-02-28	1
"N00277W"	4030	2013-11-12	"Red Group"	"Hartwood"	"Wind Onshore"	NA	NA	30	"n/a"	NA	NA	NA	"2"	"15"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Nr Salsburg"	"Strathclyde"	"Scotland"	"Scotland"	NA	283440	659680	"North Lanarkshire Council"	"06/01001/FUL"	NA	NA	NA	NA	NA	2006-06-15	2013-09-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00278W"	4031	2014-03-06	"K E Projects AF"	"St. Johns Hill"	"Wind Onshore"	NA	NA	15.75	"n/a"	NA	NA	NA	"2.8"	"9"	NA	"n/a"	"Operational"	"Operational"	"Chapel of Barras
nr Kinneff, 
South of Stonehaven"	"Grampian"	"Scotland"	"Scotland"	NA	383500	777500	"Aberdeenshire Council"	"2004/4666"	NA	NA	NA	NA	NA	2004-12-22	NA	2006-10-11	NA	NA	NA	2007-11-26	2007-11-26	NA	NA	NA	NA	NA	2013-04-01	1
"N00279W"	4032	2018-05-22	"Blue Energy"	"Blackcraig"	"Wind Onshore"	NA	NA	53	"n/a"	NA	NA	NA	"3"	"23"	NA	"n/a"	"Operational"	"Operational"	"Blackcraig Hill, 6km NE of Balmaclellan"	"Dumfries and Galloway"	"Scotland"	"Scotland"	NA	270500	582500	"Scottish Government (S36)"	"05/n/2005"	NA	NA	NA	NA	NA	2005-09-30	NA	NA	NA	NA	NA	NA	2011-03-22	NA	NA	NA	NA	2016-01-10	2018-03-02	1
